pergunta;resposta
"horário de funcionamento";"Nosso horário de funcionamento é de segunda a sábado, das 8h às 20h."
"qual horário vocês abrem";"Abrimos às 8h de segunda a sábado."
"qual horário vocês fecham";"Fechamos às 20h, de segunda a sábado."
"vocês abrem domingo";"No momento não abrimos aos domingos."
"formas de pagamento";"Aceitamos cartões de débito, crédito, PIX e vale-alimentação."
"quais pagamentos aceitam";"Trabalhamos com crédito, débito, PIX e vale-alimentação."
"posso pagar no pix";"Sim! Aceitamos PIX para qualquer pedido."
"aceitam vale alimentação";"Sim, aceitamos vale-alimentação."
"entrega grátis";"A entrega é grátis para pedidos acima de R$ 150,00 dentro da nossa área atendida."
"frete grátis";"O frete é grátis para compras acima de R$ 150."
"prazo de entrega";"O prazo médio de entrega é de 2 horas após a confirmação do pagamento."
"em quanto tempo chega";"O prazo médio de entrega é de até 2 horas."
"como funciona a entrega";"Após confirmar o pedido, nossa equipe separa os itens e realiza a entrega em até 2 horas."
"como funciona o sfood";"A SFOOD é um supermercado digital: você monta o carrinho, escolhe a forma de pagamento e nós entregamos na sua casa."
"o que é o sfood";"Somos um supermercado digital com IA que ajuda você a fazer compras mais rápidas e inteligentes."
"produtos saudáveis";"Você pode encontrar alimentos saudáveis filtrando pela tag 'Saudável' na vitrine do SFOOD."
"como acho produtos saudáveis";"Procure pela tag 'Saudável' ou utilize o filtro no painel de produtos."
"tem produtos low carb";"Sim! Temos uma categoria específica para produtos low carb."
"tem produtos veganos";"Sim, também oferecemos opções veganas."
"tem produtos sem glúten";"Sim! Basta procurar pela tag 'Sem glúten'."
"tem produtos sem lactose";"Sim! Muitos produtos sem lactose estão disponíveis na vitrine."
"como adiciono ao carrinho";"Clique no botão 'Adicionar' no produto para incluí-lo no carrinho."
"como vejo o carrinho";"Seu carrinho aparece na coluna do meio, com todos os itens adicionados."
"como remover item do carrinho";"No carrinho, clique em 'Remover' ao lado do produto que deseja retirar."
"posso cancelar o pedido";"Sim, entre em contato imediatamente após a compra para cancelarmos o pedido."
"como cancelar pedido";"Fale com nosso suporte logo após realizar a compra para solicitar cancelamento."
"como rastrear pedido";"O status aparece na área 'Intranet' e será atualizado internamente para acompanhamento."
"tem rastreamento";"O pedido pode ser acompanhado internamente e será atualizado conforme o processo avança."
"status do meu pedido";"O status aparece no painel interno e muda conforme seu pedido avança nas etapas."
"vocês entregam em todo o Brasil";"No momento entregamos apenas na área local definida da SFOOD."
"qual área de entrega";"Atendemos um raio aproximado de 8km da nossa unidade."
"tem retirada na loja";"Sim, você pode retirar seu pedido na unidade física entre 8h e 20h."
"posso agendar entrega";"Sim, você pode solicitar agendamento no suporte após finalizar a compra."
